origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ARI incidence,2026-02-22,1,GB-ENG,median,,299.39267
2026-02-25,ARI incidence,2026-03-01,2,GB-ENG,median,,293.0288
2026-02-25,ARI incidence,2026-03-08,3,GB-ENG,median,,285.4969
2026-02-25,ARI incidence,2026-03-15,4,GB-ENG,median,,275.06985
2026-02-25,ARI incidence,2026-02-22,1,GB-NIR,median,,197.01213
2026-02-25,ARI incidence,2026-03-01,2,GB-NIR,median,,192.98029
2026-02-25,ARI incidence,2026-03-08,3,GB-NIR,median,,189.49504
2026-02-25,ARI incidence,2026-03-15,4,GB-NIR,median,,183.88815
2026-02-25,ARI incidence,2026-02-22,1,GB-SCT,median,,184.41629
2026-02-25,ARI incidence,2026-03-01,2,GB-SCT,median,,185.33295
2026-02-25,ARI incidence,2026-03-08,3,GB-SCT,median,,183.22006
2026-02-25,ARI incidence,2026-03-15,4,GB-SCT,median,,177.63809
2026-02-25,ARI incidence,2026-02-22,1,GB-WLS,median,,148.46164
2026-02-25,ARI incidence,2026-03-01,2,GB-WLS,median,,146.71918
2026-02-25,ARI incidence,2026-03-08,3,GB-WLS,median,,144.97893
2026-02-25,ARI incidence,2026-03-15,4,GB-WLS,median,,140.6734
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.01,734.6978
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.01,623.9475
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.01,539.3877
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.01,531.2214
2026-02-25,ARI incidence,2026-02-22,1,CY,quantile,0.01,8239.232
2026-02-25,ARI incidence,2026-03-01,2,CY,quantile,0.01,7039.759
2026-02-25,ARI incidence,2026-03-08,3,CY,quantile,0.01,6126.0547
2026-02-25,ARI incidence,2026-03-15,4,CY,quantile,0.01,4884.415
2026-02-25,ARI incidence,2026-02-22,1,CZ,quantile,0.01,878.8717
2026-02-25,ARI incidence,2026-03-01,2,CZ,quantile,0.01,804.4645
2026-02-25,ARI incidence,2026-03-08,3,CZ,quantile,0.01,737.4911
2026-02-25,ARI incidence,2026-03-15,4,CZ,quantile,0.01,669.11414
2026-02-25,ARI incidence,2026-02-22,1,DE,quantile,0.01,1340.061
2026-02-25,ARI incidence,2026-03-01,2,DE,quantile,0.01,1206.6088
2026-02-25,ARI incidence,2026-03-08,3,DE,quantile,0.01,1049.2723
2026-02-25,ARI incidence,2026-03-15,4,DE,quantile,0.01,933.0672
2026-02-25,ARI incidence,2026-02-22,1,EE,quantile,0.01,176.99754
2026-02-25,ARI incidence,2026-03-01,2,EE,quantile,0.01,140.0134
2026-02-25,ARI incidence,2026-03-08,3,EE,quantile,0.01,108.139725
2026-02-25,ARI incidence,2026-03-15,4,EE,quantile,0.01,89.72336
2026-02-25,ARI incidence,2026-02-22,1,ES,quantile,0.01,320.5651
2026-02-25,ARI incidence,2026-03-01,2,ES,quantile,0.01,287.5906
2026-02-25,ARI incidence,2026-03-08,3,ES,quantile,0.01,258.43265
2026-02-25,ARI incidence,2026-03-15,4,ES,quantile,0.01,236.16696
2026-02-25,ARI incidence,2026-02-22,1,FI,quantile,0.01,2066.126
2026-02-25,ARI incidence,2026-03-01,2,FI,quantile,0.01,1882.2681
2026-02-25,ARI incidence,2026-03-08,3,FI,quantile,0.01,1746.3406
2026-02-25,ARI incidence,2026-03-15,4,FI,quantile,0.01,1660.0813
2026-02-25,ARI incidence,2026-02-22,1,FR,quantile,0.01,151.29358
2026-02-25,ARI incidence,2026-03-01,2,FR,quantile,0.01,101.13297
2026-02-25,ARI incidence,2026-03-08,3,FR,quantile,0.01,79.367004
2026-02-25,ARI incidence,2026-03-15,4,FR,quantile,0.01,66.45413
2026-02-25,ARI incidence,2026-02-22,1,HU,quantile,0.01,2275.4001
2026-02-25,ARI incidence,2026-03-01,2,HU,quantile,0.01,2135.1763
2026-02-25,ARI incidence,2026-03-08,3,HU,quantile,0.01,1895.4833
2026-02-25,ARI incidence,2026-03-15,4,HU,quantile,0.01,1460.9387
2026-02-25,ARI incidence,2026-02-22,1,IE,quantile,0.01,44.738083
2026-02-25,ARI incidence,2026-03-01,2,IE,quantile,0.01,38.988964
2026-02-25,ARI incidence,2026-03-08,3,IE,quantile,0.01,32.200478
2026-02-25,ARI incidence,2026-03-15,4,IE,quantile,0.01,30.004124
2026-02-25,ARI incidence,2026-02-22,1,IS,quantile,0.01,51.39868
2026-02-25,ARI incidence,2026-03-01,2,IS,quantile,0.01,44.49143
2026-02-25,ARI incidence,2026-03-08,3,IS,quantile,0.01,39.849377
2026-02-25,ARI incidence,2026-03-15,4,IS,quantile,0.01,34.921597
2026-02-25,ARI incidence,2026-02-22,1,IT,quantile,0.01,427.1018
2026-02-25,ARI incidence,2026-03-01,2,IT,quantile,0.01,286.1407
2026-02-25,ARI incidence,2026-03-08,3,IT,quantile,0.01,213.6828
2026-02-25,ARI incidence,2026-03-15,4,IT,quantile,0.01,160.75104
2026-02-25,ARI incidence,2026-02-22,1,LT,quantile,0.01,753.6163
2026-02-25,ARI incidence,2026-03-01,2,LT,quantile,0.01,680.2254
2026-02-25,ARI incidence,2026-03-08,3,LT,quantile,0.01,624.7652
2026-02-25,ARI incidence,2026-03-15,4,LT,quantile,0.01,561.7053
2026-02-25,ARI incidence,2026-02-22,1,LU,quantile,0.01,9173.975
2026-02-25,ARI incidence,2026-03-01,2,LU,quantile,0.01,8207.4375
2026-02-25,ARI incidence,2026-03-08,3,LU,quantile,0.01,7476.392
2026-02-25,ARI incidence,2026-03-15,4,LU,quantile,0.01,6988.91
2026-02-25,ARI incidence,2026-02-22,1,LV,quantile,0.01,1074.8157
2026-02-25,ARI incidence,2026-03-01,2,LV,quantile,0.01,1013.96326
2026-02-25,ARI incidence,2026-03-08,3,LV,quantile,0.01,840.81805
2026-02-25,ARI incidence,2026-03-15,4,LV,quantile,0.01,612.5476
2026-02-25,ARI incidence,2026-02-22,1,NL,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-03-01,2,NL,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-03-08,3,NL,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-03-15,4,NL,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-02-22,1,PT,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-03-01,2,PT,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-03-08,3,PT,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-03-15,4,PT,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-02-22,1,RO,quantile,0.01,547.16614
2026-02-25,ARI incidence,2026-03-01,2,RO,quantile,0.01,475.0274
2026-02-25,ARI incidence,2026-03-08,3,RO,quantile,0.01,457.198
2026-02-25,ARI incidence,2026-03-15,4,RO,quantile,0.01,479.44147
2026-02-25,ARI incidence,2026-02-22,1,SI,quantile,0.01,1138.1221
2026-02-25,ARI incidence,2026-03-01,2,SI,quantile,0.01,981.7253
2026-02-25,ARI incidence,2026-03-08,3,SI,quantile,0.01,850.2147
2026-02-25,ARI incidence,2026-03-15,4,SI,quantile,0.01,816.6157
2026-02-25,ARI incidence,2026-02-22,1,SK,quantile,0.01,1512.1764
2026-02-25,ARI incidence,2026-03-01,2,SK,quantile,0.01,1359.0555
2026-02-25,ARI incidence,2026-03-08,3,SK,quantile,0.01,1250.2124
2026-02-25,ARI incidence,2026-03-15,4,SK,quantile,0.01,1166.0283
2026-02-25,ARI incidence,2026-02-22,1,GB-ENG,quantile,0.01,230.3124
2026-02-25,ARI incidence,2026-03-01,2,GB-ENG,quantile,0.01,211.39609
2026-02-25,ARI incidence,2026-03-08,3,GB-ENG,quantile,0.01,199.55554
2026-02-25,ARI incidence,2026-03-15,4,GB-ENG,quantile,0.01,182.32014
2026-02-25,ARI incidence,2026-02-22,1,GB-NIR,quantile,0.01,148.544
2026-02-25,ARI incidence,2026-03-01,2,GB-NIR,quantile,0.01,130.25543
2026-02-25,ARI incidence,2026-03-08,3,GB-NIR,quantile,0.01,116.51613
2026-02-25,ARI incidence,2026-03-15,4,GB-NIR,quantile,0.01,100.757996
2026-02-25,ARI incidence,2026-02-22,1,GB-SCT,quantile,0.01,120.918976
2026-02-25,ARI incidence,2026-03-01,2,GB-SCT,quantile,0.01,109.84093
2026-02-25,ARI incidence,2026-03-08,3,GB-SCT,quantile,0.01,96.17825
2026-02-25,ARI incidence,2026-03-15,4,GB-SCT,quantile,0.01,87.938736
2026-02-25,ARI incidence,2026-02-22,1,GB-WLS,quantile,0.01,33.025604
2026-02-25,ARI incidence,2026-03-01,2,GB-WLS,quantile,0.01,21.512985
2026-02-25,ARI incidence,2026-03-08,3,GB-WLS,quantile,0.01,5.6356506
2026-02-25,ARI incidence,2026-03-15,4,GB-WLS,quantile,0.01,0.0
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.025,767.6636
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.025,661.92566
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.025,580.27637
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.025,572.31525
2026-02-25,ARI incidence,2026-02-22,1,CY,quantile,0.025,9411.798
2026-02-25,ARI incidence,2026-03-01,2,CY,quantile,0.025,8215.911
2026-02-25,ARI incidence,2026-03-08,3,CY,quantile,0.025,7321.4272
2026-02-25,ARI incidence,2026-03-15,4,CY,quantile,0.025,6144.7686
2026-02-25,ARI incidence,2026-02-22,1,CZ,quantile,0.025,909.40466
2026-02-25,ARI incidence,2026-03-01,2,CZ,quantile,0.025,842.35736
2026-02-25,ARI incidence,2026-03-08,3,CZ,quantile,0.025,781.4334
2026-02-25,ARI incidence,2026-03-15,4,CZ,quantile,0.025,714.9313
2026-02-25,ARI incidence,2026-02-22,1,DE,quantile,0.025,1393.4014
2026-02-25,ARI incidence,2026-03-01,2,DE,quantile,0.025,1272.6201
2026-02-25,ARI incidence,2026-03-08,3,DE,quantile,0.025,1121.2795
2026-02-25,ARI incidence,2026-03-15,4,DE,quantile,0.025,1007.68384
2026-02-25,ARI incidence,2026-02-22,1,EE,quantile,0.025,195.89534
2026-02-25,ARI incidence,2026-03-01,2,EE,quantile,0.025,162.11871
2026-02-25,ARI incidence,2026-03-08,3,EE,quantile,0.025,132.91565
2026-02-25,ARI incidence,2026-03-15,4,EE,quantile,0.025,115.093735
